pair_id,baseline__detected_query_keypoints,baseline__detected_refer_keypoints,baseline__ratio_matches,baseline__inverse_consistency_matches,baseline__outlier_filter_matches,baseline__matches_after_consistency,baseline__geometry_inliers,baseline__geometry_inlier_rate,baseline__average_control_point_error,baseline__registration_success,baseline__failure_reason,baseline__query_grid_coverage,baseline__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_31_r_t,553,409,136,48,46,46,46,0.9390243902439024,4.912172177168103,True,,0.6875,0.75,652,456,148,51,49,49,48,0.9631578947368421,4.833616596848237,True,,0.6875,0.75
control_points_32_r_t,267,366,50,40,28,28,28,0.920863309352518,6.639150149722163,True,,0.375,0.4375,310,404,61,51,33,33,33,0.9328859060402684,7.015520038381322,True,,0.25,0.5
control_points_33_r_t,393,397,171,156,124,124,121,0.9585492227979274,4.483330484812207,True,,0.75,0.75,428,464,190,183,160,160,160,0.9385964912280702,4.605210429923432,True,,0.8125,0.9375
control_points_34_r_t,399,392,180,175,139,139,138,0.9302325581395349,3.655050768816403,True,,0.75,0.8125,465,433,203,194,174,174,174,0.9055793991416309,3.6679450114185226,True,,0.75,0.8125
control_points_35_r_t,254,396,26,19,15,15,14,0.9342105263157895,11.302564374504243,True,,0.375,0.375,263,461,32,23,14,14,14,0.9770114942528736,10.600483057592218,True,,0.4375,0.4375
control_points_36_r_t,284,392,42,36,29,29,29,0.9370629370629371,8.097082030223236,True,,0.375,0.5,318,431,53,45,28,28,28,0.9580838323353293,8.382610551586415,True,,0.3125,0.5
control_points_37_r_t,505,399,127,58,51,51,51,0.9343065693430657,8.826745030616602,True,,0.5625,0.5,565,462,140,127,101,101,101,0.9640718562874252,8.661106448369706,True,,0.8125,0.6875
control_points_38_r_t,547,387,98,33,33,33,33,0.9369369369369369,9.004874848172742,True,,1.0,1.0,623,432,104,84,78,78,76,0.9296875,9.369381699316273,True,,0.8125,0.75
control_points_39_r_t,280,396,29,21,20,20,19,0.9666666666666667,17.116168593347933,True,,0.375,0.5,318,461,34,26,20,20,20,0.9323308270676691,18.323853948848452,True,,0.4375,0.5
control_points_40_r_t,288,392,25,18,9,9,5,0.9130434782608695,18.505628830339308,True,,0.25,0.25,320,431,24,18,11,11,11,0.8985507246376812,17.958468078969364,True,,0.25,0.1875
control_points_41_r_t,393,413,239,231,207,207,207,0.9024390243902439,3.3184377436282575,True,,0.875,0.9375,428,466,269,263,204,204,201,0.910394265232975,3.478933119621674,True,,0.8125,1.0
control_points_42_r_t,399,418,245,232,170,170,163,0.9382239382239382,2.4408226738453265,True,,0.8125,0.875,465,457,273,259,205,205,203,0.9498207885304659,2.888106117800293,True,,0.875,0.9375
control_points_43_r_t,254,415,41,36,22,22,21,0.9017857142857143,7.348372029008778,True,,0.375,0.375,263,470,36,30,23,23,23,0.9310344827586207,8.15139530998893,True,,0.5,0.5625
