pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_S37_1_2,395,348,264,258,205,205,205,0.8847583643122676,1.4867849178559631,True,,0.9375,0.9375,387,340,251,244,191,191,189,0.952755905511811,2.6924616861987825,True,,1.0,1.0,476,421,296,285,235,235,234,0.9271523178807947,1.9202873923461918,True,,1.0,1.0
control_points_S38_1_2,345,348,274,269,223,223,218,0.9197080291970803,1.7217625635969873,True,,1.0,1.0,348,340,249,245,192,192,187,0.8949416342412452,1.1606531346083262,True,,1.0,1.0,439,421,302,292,232,232,229,0.9136212624584718,1.170942279537503,True,,1.0,1.0
control_points_S39_1_2,343,348,269,267,206,206,197,0.8718861209964412,1.42068310742652,True,,1.0,0.9375,341,340,260,249,184,184,181,0.9261992619926199,1.763001606982323,True,,0.8125,0.8125,419,421,298,285,228,228,220,0.8927444794952681,1.589934525517127,True,,1.0,1.0
control_points_S40_1_2,345,395,277,273,243,243,238,0.9084507042253521,1.3336419637434416,True,,1.0,1.0,348,387,276,274,255,255,254,0.9432624113475178,1.6271245322005594,True,,1.0,1.0,439,476,313,305,216,216,216,0.9567901234567902,2.083996383844829,True,,0.9375,0.9375
control_points_S41_1_2,343,395,260,250,212,212,205,0.9473684210526315,1.9622211902876603,True,,1.0,1.0,341,387,244,239,173,173,173,0.95703125,1.8963323601673125,True,,0.875,0.875,419,476,285,281,245,245,245,0.9185667752442996,1.6829747217936224,True,,1.0,1.0
control_points_S42_1_2,343,345,276,266,211,211,207,0.9452554744525548,1.6795665507237427,True,,0.9375,0.9375,341,348,252,246,212,212,210,0.9622641509433962,2.82921199061226,True,,0.9375,1.0,419,439,296,291,253,253,249,0.9205298013245033,1.733699636890638,True,,0.9375,1.0
control_points_S43_1_2,380,383,303,297,257,257,257,0.9161290322580645,2.2489634022367637,True,,0.9375,0.9375,355,351,280,277,247,247,242,0.9608540925266904,1.629890401382342,True,,1.0,1.0,459,426,320,313,254,254,252,0.9415384615384615,1.8412092684118675,True,,0.9375,0.9375
control_points_S44_1_2,381,383,308,304,257,257,254,0.912621359223301,2.3101544725897445,True,,1.0,1.0,350,351,268,265,246,246,245,0.9424460431654677,1.6514697603048127,True,,1.0,0.9375,447,426,316,311,283,283,281,0.9598765432098766,1.8276721206777264,True,,1.0,1.0
control_points_S45_1_2,381,380,311,309,257,257,252,0.9529780564263323,1.547838807074225,True,,1.0,1.0,350,355,294,290,271,271,268,0.9333333333333333,1.416312550748129,True,,1.0,1.0,447,459,354,348,299,299,299,0.926829268292683,1.5143234986976368,True,,1.0,1.0
control_points_S46_1_2,414,394,301,296,222,222,215,0.9120521172638436,2.3662957561883418,True,,0.9375,0.875,397,385,297,291,233,233,229,0.9605263157894737,2.3865488174336233,True,,0.9375,0.9375,495,486,364,351,280,280,278,0.9262295081967213,2.524689741220034,True,,0.9375,0.9375
