pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_01_r_t,383,362,173,166,149,149,149,0.9572192513368984,2.569696679565175,True,,1.0,1.0,409,387,201,181,147,147,147,0.9463414634146341,3.253200292522113,True,,0.75,0.875,477,442,198,181,160,160,142,0.9502262443438914,2.8823676400289178,True,,0.8125,0.875
control_points_02_r_t,390,396,183,169,144,144,144,0.9378238341968912,3.0753516746879286,True,,0.9375,1.0,400,408,182,171,140,140,140,0.934010152284264,3.878529868755232,True,,0.9375,1.0,442,466,192,181,151,151,151,0.9320388349514563,3.361890480211969,True,,1.0,1.0
control_points_03_r_t,399,362,162,146,132,132,132,0.9482758620689655,3.9337046673699305,True,,0.875,0.875,406,387,172,149,128,128,128,0.967032967032967,4.752652229830268,True,,0.875,0.9375,470,442,175,162,148,148,148,0.9292929292929293,3.5503174554609687,True,,0.875,0.9375
control_points_04_r_t,389,396,166,148,123,123,119,0.9147727272727273,3.5561484532612657,True,,0.875,0.9375,416,408,168,152,124,124,124,0.9044943820224719,3.992435135887711,True,,0.8125,0.9375,483,466,179,161,137,137,136,0.9468599033816425,3.6269967617158283,True,,0.875,0.9375
control_points_05_r_t,301,361,65,51,40,40,40,0.9411764705882353,4.455381546684701,True,,0.5,0.875,299,389,60,51,35,35,35,0.9419354838709677,4.083940063936588,True,,0.375,0.5625,345,442,66,56,43,43,43,0.9147727272727273,4.147725163958561,True,,0.5,0.75
control_points_06_r_t,302,396,68,55,29,29,29,0.9032258064516129,4.816291718989731,True,,0.4375,0.75,299,411,61,58,33,33,33,0.9298245614035088,4.6541543004971695,True,,0.375,0.6875,322,464,64,56,35,35,35,0.9240506329113924,4.540647975641087,True,,0.375,0.8125
control_points_07_r_t,508,360,127,39,38,38,38,0.9555555555555556,3.1651378339756597,True,,0.6875,0.5,533,386,119,35,33,33,32,0.9391891891891891,3.0640912977675554,True,,0.625,0.4375,629,438,131,37,28,28,27,0.9325153374233128,3.713488034187403,True,,0.5,0.4375
control_points_08_r_t,508,395,100,77,64,64,63,0.920863309352518,4.2926492608460185,True,,0.6875,0.6875,564,410,110,43,37,37,36,0.9319727891156463,4.6585396705994375,True,,0.6875,0.75,627,466,123,54,47,47,47,0.9337748344370861,4.4181929317771695,True,,0.5625,0.625
control_points_09_r_t,309,361,51,42,32,32,32,0.9319727891156463,4.495888172600161,True,,0.5625,0.75,311,389,68,55,38,38,38,0.92,3.6818251573919176,True,,0.5,0.6875,350,442,58,47,31,31,31,0.9354838709677419,3.9403205409294597,True,,0.5,0.6875
control_points_10_r_t,298,396,55,39,21,21,21,0.9242424242424242,6.706969711080061,True,,0.375,0.5625,315,411,51,41,26,26,24,0.9047619047619048,6.87006820841112,True,,0.375,0.75,341,464,51,37,23,23,23,0.9536423841059603,5.837019493649859,True,,0.375,0.6875
