dataset,method,pair_id,detected_query,detected_refer,ratio_matches,bidirectional_matches,returned_after_outlier,ransac_inliers,ransac_inlier_rate,match_grid_cells,match_grid_coverage,match_hull_fraction,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,mean_returned_match_distance
FIMD,G0,39_r_t,318,461,34,26,20,20,1.0,10,0.15625,0.1532880506615798,10,0.15625,0.1532880506615798,0.9661805927753448
FIMD,G0,40_r_t,320,431,24,18,11,11,1.0,7,0.109375,0.034019271369170094,7,0.109375,0.034019271369170094,1.0006158947944641
FIMD,G0,18_r_t,328,418,185,173,130,124,0.9538461538461539,25,0.390625,0.2616371465263489,23,0.359375,0.2386875928783722,0.8783642237003033
FIMD,G7,39_r_t,340,495,31,28,18,17,0.9444444444444444,9,0.140625,0.14520830207618884,8,0.125,0.1377974563828875,0.9860315687126584
FIMD,G7,40_r_t,336,445,26,19,11,11,1.0,8,0.125,0.09391555123313901,8,0.125,0.09391555123313901,0.9861164147203619
FIMD,G7,18_r_t,357,464,193,185,163,132,0.8098159509202454,28,0.4375,0.3293633410851052,21,0.328125,0.2702564157521719,0.8709913556195475
