epoch,avg_learned_keypoints,dense_calls,dense_loss,dense_negative_distance,dense_occupied_cells_per_call,dense_positive_distance,dense_sampled_points_per_call,dense_valid_pairs_per_call,descriptor_loss,detector_loss,overall_loss
46,37.6640625,64.0,0.006951,1.073851,250.921875,0.519355,488.671875,488.671875,0.2320292443037033,0.6678927540779114,0.8999220132827759
47,40.93359375,64.0,0.007466,1.063504,251.140625,0.521915,489.609375,489.609375,0.22222214937210083,0.6628453731536865,0.8850675225257874
48,41.3828125,64.0,0.006199,1.081082,251.5625,0.516416,491.109375,491.109375,0.23424845933914185,0.6643784046173096,0.8986268639564514
49,43.2421875,64.0,0.00681,1.072878,250.125,0.516281,486.5,486.5,0.22169595956802368,0.6738986968994141,0.8955946564674377
50,46.43359375,64.0,0.007458,1.070255,251.609375,0.514652,489.828125,489.828125,0.21711158752441406,0.6660700440406799,0.883181631565094
51,46.22265625,64.0,0.008068,1.075943,251.640625,0.51557,490.484375,490.484375,0.22506839036941528,0.6618227958679199,0.8868911862373352
52,48.2421875,64.0,0.007175,1.070263,251.171875,0.510294,487.984375,487.984375,0.217502161860466,0.6673822402954102,0.8848844170570374
53,50.41796875,64.0,0.007473,1.07531,250.890625,0.515737,488.828125,488.828125,0.2187732756137848,0.6563171148300171,0.8750903606414795
54,53.109375,64.0,0.005968,1.07469,251.5625,0.505593,489.390625,489.390625,0.22080564498901367,0.6580157279968262,0.8788213729858398
55,50.34765625,64.0,0.00618,1.079087,251.796875,0.500226,492.0,492.0,0.20751234889030457,0.6596643924713135,0.8671767711639404
56,58.7890625,64.0,0.006447,1.075385,251.46875,0.507526,491.578125,491.578125,0.21753807365894318,0.6584948897361755,0.8760329484939575
57,59.69140625,64.0,0.007154,1.074436,250.984375,0.50501,488.484375,488.484375,0.20606254041194916,0.6471622586250305,0.8532248139381409
58,59.27734375,64.0,0.006726,1.083652,250.875,0.500849,488.78125,488.78125,0.2030719816684723,0.6635876297950745,0.8666596412658691
59,63.0078125,64.0,0.005747,1.071907,251.40625,0.496543,488.984375,488.984375,0.1985001116991043,0.6467936635017395,0.8452937602996826
60,61.92578125,64.0,0.005643,1.079641,252.03125,0.49705,491.515625,491.515625,0.20521259307861328,0.6510450839996338,0.8562576770782471
61,62.80859375,64.0,0.005828,1.085282,250.78125,0.503046,489.609375,489.609375,0.2082497775554657,0.6514544486999512,0.8597042560577393
62,67.6796875,64.0,0.005531,1.07214,250.296875,0.491538,486.984375,486.984375,0.1824599951505661,0.6464233994483948,0.8288834095001221
63,67.2421875,64.0,0.005526,1.082154,251.03125,0.490289,488.203125,488.203125,0.20253930985927582,0.6447744965553284,0.8473138213157654
64,69.625,64.0,0.005497,1.078995,250.796875,0.496548,488.734375,488.734375,0.19906766712665558,0.6496918201446533,0.8487594723701477
65,71.19921875,64.0,0.00596,1.069928,250.890625,0.487766,487.265625,487.265625,0.17707675695419312,0.6560742855072021,0.8331510424613953
66,70.703125,64.0,0.004959,1.084955,251.5,0.487864,489.34375,489.34375,0.18655860424041748,0.6516633629798889,0.8382219672203064
67,71.1328125,64.0,0.00561,1.08402,251.53125,0.486992,490.609375,490.609375,0.18354485929012299,0.6503384709358215,0.8338833451271057
68,,,,,,,,,,,
