dataset,method,pair_id,detected_query,detected_refer,ratio_matches,bidirectional_matches,returned_after_outlier,ransac_inliers,ransac_inlier_rate,match_grid_cells,match_grid_coverage,match_hull_fraction,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,mean_returned_match_distance
FIMD,G0,39_r_t,318,461,34,26,20,20,1.0,10,0.15625,0.1532880506615798,10,0.15625,0.1532880506615798,0.9661805927753448
FIMD,G0,40_r_t,320,431,24,18,11,11,1.0,7,0.109375,0.034019271369170094,7,0.109375,0.034019271369170094,1.0006158947944641
FIMD,G5,39_r_t,317,476,39,27,15,13,0.8666666666666667,8,0.125,0.14797076385316643,7,0.109375,0.1326554328489369,1.000580577055613
FIMD,G5,40_r_t,315,434,19,12,10,8,0.8,9,0.140625,0.15612240387088477,7,0.109375,0.14679929073073844,1.0122090935707093
FIMD,G6,39_r_t,317,450,17,14,9,9,1.0,6,0.09375,0.16833043981481483,6,0.09375,0.16833043981481483,0.9702423413594564
FIMD,G6,40_r_t,311,430,33,27,14,12,0.8571428571428571,7,0.109375,0.08349140517832647,5,0.078125,0.02540379765374943,0.9951984328883035
